run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen.sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed	folder
M18_S14_R2_001	1	4.4	NCLDV_ssuRiboReduc	0.000584	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M18_S14_R2_001	2	9.2	Herpes_UL5	9.76e-05	100	48 / 51	1	NC_004065.1|Murid herpesvirus 1, complete genome	taxid:10366|Muromegalovirus muridbeta1|Muromegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	200055
M20_S16_R2_001	2	0.3	NCLDV_ssuRiboReduc	0.000584	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200055
M22_S18_R2_001	1	7.1	NCLDV_ssuRiboReduc	0.005	93.3	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200055
M26_S20_R1_001	2	0.34	Herpes_TER1	0.01	87.5	48 / 51	1	NC_004065.1|Murid herpesvirus 1, complete genome	taxid:10366|Muromegalovirus muridbeta1|Muromegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	200055
M27_S21_R1_001	1	2.5	NCLDV_ssuRiboReduc	0.000802	88.2	51 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M29_S23_R1_001	1	0.92	NCLDV_ssuRiboReduc	0.87	58.8	51 / 51	1	NC_004105.1|Ectromelia virus, complete genome	taxid:12643|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M29_S23_R1_001	1	7.1	NCLDV_ssuRiboReduc	0.007	100	42 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M2_S14_R1_001	1	2.5	Herpes_UL5	3.92e-07	100	48 / 51	1	NC_004065.1|Murid herpesvirus 1, complete genome	taxid:10366|Muromegalovirus muridbeta1|Muromegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	200055
M30_S24_R1_001	1	0.41	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M30_S24_R2_001	1	0.98	NCLDV_ssuRiboReduc	0.000425	94.1	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M31_S25_R2_001	1	1.9	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M32_S26_R1_001	1	2.5	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M32_S26_R1_001	1	6.6	NCLDV_ssuRiboReduc	0.007	94.1	51 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M32_S26_R2_001	1	5.9	NCLDV_ssuRiboReduc	0.026	87.5	48 / 51	1	NC_035460.1|Eptesipox virus strain Washington, complete genome	taxid:1329402|Vespertilionpoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
M6_S2_R2_001	1	2	NCLDV_ssuRiboReduc	0.014	87.5	48 / 51	1	NC_040681.1|Bufonid herpesvirus 1 strain FO1_2015, complete genome	taxid:2282206|Batrachovirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	200055
M7_S3_R2_001	2	0.35	NCLDV_ssuRiboReduc	0.000119	100	48 / 52	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
HAN16_S17_R2_001	1	8.8	NCLDV_ssuRiboReduc	0.000802	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200056
HAN19_S20_R2_001	2	1.9	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200056
21180_17_S4_R1_001	1	0.3	NCLDV_ssuRiboReduc	3.35e-05	100	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
21180_17_S4_R1_001	1	3.1	Adeno_penton	1.29e-05	100	48 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
22733_19_S8_R1_001	1	0.96	Adeno_penton	6.84e-06	100	51 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
22733_19_S8_R2_001	2	6.2	Adeno_pIIIa	8.68e-05	100	51 / 51	2	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
25234_19_S65_R1_001	1	6.2	Adeno_penton	0.000225	100	51 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
25234_19_S65_R2_001	1	2	NCLDV_ssuRiboReduc	0.01	100	48 / 51	1	NC_019495.1|Cyprinid herpesvirus 2 strain ST-J1, complete genome	taxid:317878|Cyvirus cyprinidallo2|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-10	200057
25824_19_S1_R1_001	1	0.37	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
25824_19_S1_R1_001	1	0.78	NCLDV_ssuRiboReduc	0.000309	100	51 / 51	1	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
25824_19_S1_R1_001	1	1.3	MeML23_mcp	0.02	87.5	48 / 51	1	NC_024451.1|Armadillidium vulgare iridescent virus complete genome	taxid:72201|Invertebrate iridescent virus 31|Iridovirus|Betairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
25824_19_S1_R1_001	1	3.9	NCLDV_ssuRiboReduc	0.01	100	48 / 51	1	NC_019495.1|Cyprinid herpesvirus 2 strain ST-J1, complete genome	taxid:317878|Cyvirus cyprinidallo2|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-11	200057
25824_19_S1_R1_001	1	6	NCLDV_ssuRiboReduc	0.002	93.8	48 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-11	200057
25824_19_S1_R1_001	1	7.1	Adeno_penton	2.44e-05	100	48 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
25824_19_S1_R2_001	2	0.78	NCLDV_ssuRiboReduc	0.000309	100	51 / 51	2	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
25824_19_S1_R2_001	1	7.1	Adeno_pIIIa	0.000802	93.8	48 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
27971_17_S14_R1_001	1	2.4	NCLDV_ssuRiboReduc	0.01	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
27971_17_S14_R2_001	1	3.6	Adeno_penton	0.000164	100	51 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
27971_17_S14_R2_001	1	9.5	NCLDV_ssuRiboReduc	0.01	93.8	48 / 51	1	NC_030656.1|Pteropox virus strain Australia, complete genome	taxid:1873698|Pteropopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
28249_17_S61_R1_001	2	0.4	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
30219_17_S60_R1_001	3	0.1	NCLDV_ssuRiboReduc	0.000225	100	48 / 51	2	NC_028112.1|Yellowstone lake phycodnavirus 1 DNA, complete genome, isolate: 1	taxid:1586713|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
30219_17_S60_R1_001	1	0.18	NCLDV_ssuRiboReduc	0.6	87.5	48 / 51	1	NC_008518.1|Trichoplusia ni ascovirus 2c, complete genome	taxid:328615|Ascovirus|Ascoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
30219_17_S60_R1_001	1	2.4	NCLDV_ssuRiboReduc	0.014	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
30219_17_S60_R2_001	3	0.85	NCLDV_ssuRiboReduc	0.000225	100	48 / 51	3	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H13546_18_S5_R1_001	1	0.46	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
H13546_18_S5_R2_001	1	4.7	Adeno_penton	2.44e-05	100	51 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
H19141_18_S7_R1_001	1	0.4	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H19141_18_S7_R1_001	1	1.2	Herpes_POLcore	0.068	87.5	48 / 51	1	NC_022233.1|Porcine cytomegalovirus strain BJ09, complete genome	taxid:1608255|Roseolovirus suidbeta2|Roseolovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-10	200057
H19141_18_S7_R2_001	1	0.9	NCLDV_ssuRiboReduc	0.000495	100	51 / 51	1	NC_028108.1|Yellowstone lake phycodnavirus 3 DNA, complete genome, isolate: 3	taxid:1586715|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H19141_18_S7_R2_001	1	1.2	Herpes_POLcore	0.068	87.5	48 / 51	1	NC_022233.1|Porcine cytomegalovirus strain BJ09, complete genome	taxid:1608255|Roseolovirus suidbeta2|Roseolovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-10	200057
H21247_18_S63_R1_001	1	7.4	Adeno_penton	2.44e-05	100	48 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H21247_18_S63_R2_001	1	2.6	NCLDV_ssuRiboReduc	0.000425	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H2338_18_S13_R1_001	2	0.33	NCLDV_ssuRiboReduc	3.35e-05	100	51 / 52	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H2338_18_S13_R2_001	1	7.2	NCLDV_ssuRiboReduc	0.001	93.8	48 / 51	1	NC_001132.2|Myxoma virus, complete genome	taxid:10273|Leporipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H23753_18_S2_R2_001	1	1.8	NCLDV_ssuRiboReduc	0.014	100	48 / 51	1	NC_019495.1|Cyprinid herpesvirus 2 strain ST-J1, complete genome	taxid:317878|Cyvirus cyprinidallo2|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-10	200057
H259_19_S3_R1_001	1	9.9	NCLDV_ssuRiboReduc	0.002	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
H259_19_S3_R2_001	1	1	NCLDV_ssuRiboReduc	0.25	81.2	48 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H259_19_S3_R2_001	1	5.6	Herpes_POLcore	0.24	81.2	48 / 51	1	NC_030200.1|Macaca nemestrina herpesvirus 7, complete genome	taxid:2560568|Roseolovirus macacinebeta9|Roseolovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-10	200057
H2645_18_S12_R1_001	1	2.2	Adeno_penton	9.4e-06	100	51 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
H3764_18_S9_R1_001	1	0.32	NCLDV_ssuRiboReduc	3.35e-05	100	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H3764_18_S9_R2_001	1	0.32	NCLDV_ssuRiboReduc	3.35e-05	100	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:	2024-06-10	200057
H7036_19_S6_R1_001	1	5.1	Adeno_penton	4.6e-05	100	51 / 51	1	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H7036_19_S6_R1_001	1	5.2	MeML30_mcp	0.002	86.7	45 / 51	1	NC_028094.1|Chrysochromulina ericina virus isolate CeV-01B, complete genome	taxid:455364|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H7036_19_S6_R2_001	1	0.36	NCLDV_ssuRiboReduc	3.35e-05	100	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H8204_18_S10_R1_001	2	3.5	Adeno_penton	0.000119	100	48 / 51	2	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-11	200057
H8204_18_S10_R1_001	1	4	NCLDV_ssuRiboReduc	0.01	100	48 / 51	1	NC_019495.1|Cyprinid herpesvirus 2 strain ST-J1, complete genome	taxid:317878|Cyvirus cyprinidallo2|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-11	200057
H8204_18_S10_R2_001	3	2.6	Adeno_pIIIa	1.51e-07	100	51 / 51	3	NC_001405.1|Human adenovirus C, complete genome	taxid:129951|Mastadenovirus|Adenoviridae|Rowavirales|Tectiliviricetes|Preplasmiviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
H8204_18_S10_R2_001	1	4.3	NCLDV_ssuRiboReduc	0.001	93.8	48 / 51	1	NC_001132.2|Myxoma virus, complete genome	taxid:10273|Leporipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200057
